book_id,title,language,num_pages,publish_date,avg_rating,num_ratings,num_reviews,price,stock,price_band,publish_decade
1,Harry Potter and the Half-Blood Prince,English,652.0,2006-09-16,4.0,2553909,1,547.0,97,Premium (500-700),2000.0
2,Harry Potter and the Order of the Phoenix,English,870.0,2004-09-01,4.5,2631427,4,566.0,96,Premium (500-700),2000.0
3,Harry Potter and the Sorcerer's Stone,English,309.0,2003-11-01,4.48,7434783,117823,509.1,94,Premium (500-700),2000.0
4,Harry Potter and the Chamber of Secrets,English,352.0,2003-11-01,4.0,2878196,2,511.4,91,Premium (500-700),2000.0
5,Harry Potter and the Prisoner of Azkaban,English,435.0,2004-05-01,4.0,2972519,1,525.3,94,Premium (500-700),2000.0
6,Harry Potter and the Goblet of Fire,English,734.0,2002-09-28,4.0,2725467,4,554.8,96,Premium (500-700),2000.0
7,The Harry Potter Collection,English,,2006-09-01,4.73,31201,921,588.2,50,Premium (500-700),2000.0
8,"Harry Potter Boxed Set, Books 1-5 (Harry Potter, #1-5",English,2690.0,2004-09-13,4.79,58833,184,759.6,50,Luxury (700+),2000.0
9,"Unauthorized Harry Potter Book Seven News: \""Half-Blood Prince\"" Analysis and Speculation",English,152.0,2005-04-26,3.8,30,1,466.2,10,Mid (300-500),2000.0
10,Harry Potter Collection,English,3342.0,2005-09-12,4.73,31200,921,788.2,50,Luxury (700+),2000.0
11,The Hitchhiker's Guide to the Galaxy,English,216.0,2005-01-01,5.0,1500240,2,489.4,98,Mid (300-500),2000.0
12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story,English,815.0,2005-11-01,4.36,295046,5412,554.9,100,Premium (500-700),2000.0
13,The Ultimate Hitchhiker's Guide to the Galaxy,English,815.0,2002-04-28,4.36,295030,5410,554.9,100,Premium (500-700),2000.0
14,The Hitchhiker's Guide to the Galaxy,English,215.0,2004-08-03,4.0,1500272,3,489.3,93,Mid (300-500),2000.0
15,The Hitchhiker's Guide to Lean: Lessons from the Road,English,216.0,2005-12-01,3.73,79,4,469.8,10,Mid (300-500),2000.0
16,The Hitchhiker's Guide to the Galaxy,English,6.0,2005-03-23,3.0,1500482,1,468.4,93,Mid (300-500),2000.0
17,The Hitchhiker's Guide to the Galaxy: Quandary Phase,English,,2005-10-25,4.35,773,34,573.0,10,Premium (500-700),2000.0
18,The Ultimate Hitchhiker's Guide,English,815.0,1996-01-17,4.36,295034,5411,554.9,100,Premium (500-700),1990.0
19,The Hitchhiker's Guide to the Galaxy: Quintessential Phase,English,,2006-05-28,4.37,741,29,573.8,10,Premium (500-700),2000.0
21,A Short History of Nearly Everything,English,544.0,2004-09-14,4.19,316671,12833,521.0,100,Premium (500-700),2000.0
22,Bill Bryson's African Diary,English,55.0,2002-12-03,3.45,8839,602,442.5,25,Mid (300-500),2000.0
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,English,256.0,2004-09-14,3.88,2837,175,479.8,25,Mid (300-500),2000.0
24,In a Sunburned Country,English,335.0,2001-05-15,4.06,94050,5724,494.9,50,Mid (300-500),2000.0
25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,English,304.0,2000-06-28,3.89,60838,2892,485.0,50,Mid (300-500),2000.0
26,The Lost Continent: Travels in Small Town America,English,299.0,1990-08-28,3.82,53545,2789,481.7,50,Mid (300-500),1990.0
27,Neither Here nor There: Travels in Europe,English,254.0,1993-03-28,3.84,63799,2954,478.0,50,Mid (300-500),1990.0
28,Notes from a Small Island,English,324.0,1997-05-28,3.91,98212,4384,487.8,50,Mid (300-500),1990.0
29,The Mother Tongue: English and How It Got That Way,English,270.0,1991-09-28,3.92,36978,2763,482.8,50,Mid (300-500),1990.0
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,English,1728.0,2012-09-25,4.6,113901,1809,655.8,100,Premium (500-700),2010.0
31,The Lord of the Rings,English,1184.0,2004-10-21,4.5,586599,11962,597.4,100,Premium (500-700),2000.0
32,The Lord of the Rings,English,1137.0,2003-09-01,4.5,586599,11962,592.7,100,Premium (500-700),2000.0
33,The Lord of the Rings,English,1216.0,2005-10-12,4.5,586548,11959,600.6,100,Premium (500-700),2000.0
34,The Fellowship of the Ring,English,398.0,2003-09-05,4.37,2428209,24384,513.6,91,Premium (500-700),2000.0
35,The Lord of the Rings,English,1216.0,2002-10-01,4.5,586577,11962,600.6,100,Premium (500-700),2000.0
36,The Lord of the Rings: Weapons and Warfare,English,218.0,2003-11-05,4.58,33579,63,504.0,50,Premium (500-700),2000.0
37,The Lord of the Rings: Complete Visual Companion,English,224.0,2004-11-15,4.51,387,6,501.8,10,Premium (500-700),2000.0
38,The Lord of the Rings Box Set,English,1223.0,2001-09-19,4.5,586599,11962,601.3,100,Premium (500-700),2000.0
39,The Lord of the Rings,English,,1999-11-01,4.76,6695,58,589.4,25,Premium (500-700),1990.0
40,Cooking with Fernet Branca,English,288.0,2005-01-01,3.61,1558,243,472.2,25,Mid (300-500),2000.0
45,Agile Web Development with Rails: A Pragmatic Guide,English,558.0,2005-07-28,3.84,2109,111,508.4,25,Premium (500-700),2000.0
46,Ruby Quickly: Ruby and Rails for the Real World,English,360.0,2006-08-01,3.4,5,0,471.0,10,Mid (300-500),2000.0
48,The Bucaneers,English,,1995-07-05,3.89,5724,424,554.6,25,Premium (500-700),1990.0
49,Bucaneer,English,208.0,2000-10-18,3.83,6,1,473.0,10,Mid (300-500),2000.0
50,Hatchet,English,208.0,2000-04-01,3.74,322595,14737,469.4,100,Mid (300-500),2000.0
51,"Hatchet: A Guide for Using \""Hatchet\"" in the Classroom",English,48.0,1994-08-28,3.95,37,2,461.8,10,Mid (300-500),1990.0
52,El hacha,Spanish,144.0,1996-03-01,3.74,322656,14745,463.0,100,Mid (300-500),1990.0
